ID,Last_Name,First_Name,Date_of_Birth,University_Level
53217,Al-Yami,Hatam,17/06/2005,FR
97652,Al-Asiri,Moaz,04/01/2004,SO
31096,Al-Shahrani,Jihad,21/09/2003,JR
75434,Al-Qahtani,Wajdi,08/04/2002,SR
18985,Al-Ghamdi,Fahdel,25/11/2005,FR
64322,Al-Otaibi,Misfer,12/07/2004,SO
42108,Al-Harbi,Salem,29/02/2004,JR
86546,Al-Zahrani,Dhafer,16/10/2002,SR
18704,Al-Malki,Farhan,03/05/2005,FR
53218,Al-Dosari,Jasem,20/12/2004,SO
97653,Al-Subaie,Loai,07/08/2003,JR
31097,Al-Mutairi,Duhaim,24/03/2002,SR
75441,Al-Shamri,Sahar,11/06/2005,FR
18986,Al-Anazi,Madhi,28/01/2004,SO
64323,Al-Ruwaili,Abdulhadi,15/09/2003,JR
42103,Al-Rashidi,Faleh,02/04/2002,SR
86547,Al-Enezi,Ghaith,19/11/2005,FR
18705,Al-Tamimi,Osamah,06/07/2004,SO
53219,Al-Juhani,Rafiq,23/02/2003,JR
97657,Al-Bishi,Majdi,10/10/2002,SR
31091,Al-Amri,Talha,27/05/2005,FR
75442,Al-Khaldi,Moteb,14/12/2004,SO
18987,Al-Hajri,Ayham,01/08/2003,JR
64324,Al-Yami,Shafi,18/03/2002,SR
42101,Al-Asiri,Bahaa,05/06/2005,FR
86541,Al-Shahrani,Emad,22/01/2004,SO
18708,Al-Qahtani,Sameh,09/09/2003,JR
53213,Al-Ghamdi,Luqman,26/04/2002,SR
97658,Al-Otaibi,Wasim,13/11/2005,FR
31092,Al-Harbi,Safar,30/06/2004,SO
75443,Al-Zahrani,Mufleh,17/02/2003,JR
18981,Al-Malki,Khairy,04/09/2002,SR
64325,Al-Dosari,Rakan,21/05/2005,FR
42102,Al-Subaie,Asem,08/12/2004,SO
86542,Al-Mutairi,Jassim,25/07/2003,JR
18709,Al-Shamri,Mishaal,12/02/2002,SR
53214,Al-Anazi,Tamer,29/06/2005,FR
97659,Al-Ruwaili,Zaid,16/01/2004,SO
31099,Al-Rashidi,Yaqoub,03/08/2003,JR
75435,Al-Enezi,Hisham,20/03/2002,SR
18989,Al-Tamimi,Jabir,07/10/2005,FR
64331,Al-Juhani,Fahmi,24/05/2004,SO
42111,Al-Bishi,Jarrah,11/01/2003,JR
86551,Al-Amri,Qais,28/08/2002,SR
53221,Al-Khaldi,Shadi,15/04/2005,FR
97661,Al-Hajri,Layth,02/11/2004,SO
31101,Al-Yami,Aws,19/06/2003,JR
75445,Al-Asiri,Mukhtar,06/01/2002,SR
18991,Al-Shahrani,Ameen,23/07/2005,FR
64333,Al-Qahtani,Wisam,10/02/2004,SO
42113,Al-Ghamdi,Raad,27/09/2003,JR
86553,Al-Otaibi,Hazza,14/05/2002,SR
